anon_id,arm,model,query_id,query_type,hop_count,source_file
A0001,Act-only,llama3.1:8b,Q40,1-hop_setting,1,eval_results_act_only_llama31_reeval20260726_noaudit.json
A0002,SSG,llama3.1:8b,Q42,1-hop_setting,1,eval_results_agentic_llama_reeval20260726_noaudit.json
A0003,Act-only,llama3.1:8b,Q92,collaborative_shared_ddc,3,eval_results_act_only_llama31_reeval20260726_noaudit.json
A0004,Act-only,llama3.1:8b,Q27,runtime_similarity,1,eval_results_act_only_llama31_reeval20260726_noaudit.json
A0005,Pure ReAct,qwen2.5:7b,Q92,collaborative_shared_ddc,3,eval_results_pure_react_qwen25_reeval20260726_noaudit.json
A0006,Standard RAG,llama3.1:8b,Q82,2-hop_collectiontype_category,2,eval_results_standard_llama31_reeval20260726_noaudit.json
A0007,SSG,qwen2.5:7b,Q51,1-hop_language,1,eval_results_agentic_qwen_reeval20260726_noaudit.json
A0008,Act-only,llama3.1:8b,Q81,2-hop_ddc_branch,2,eval_results_act_only_llama31_reeval20260726_noaudit.json
A0009,Act-only,llama3.1:8b,Q24,collaborative_shared_ddc,3,eval_results_act_only_llama31_reeval20260726_noaudit.json
A0010,CoT-RAG,qwen2.5:7b,Q05,1-hop_ddc,1,eval_results_cot_rag_qwen25_reeval20260726_noaudit.json
A0011,Planned,llama3.1:8b,Q69,2-hop_setting_category,2,eval_results_planned_llama31_reeval20260726_noaudit.json
A0012,Act-only,llama3.1:8b,Q46,1-hop_category,1,eval_results_act_only_llama31_reeval20260726_noaudit.json
A0013,Standard RAG,llama3.1:8b,Q67,2-hop_setting_category,2,eval_results_standard_llama31_reeval20260726_noaudit.json
A0014,Planned,llama3.1:8b,Q43,1-hop_category,1,eval_results_planned_llama31_reeval20260726_noaudit.json
A0015,Pure ReAct,qwen2.5:7b,Q24,collaborative_shared_ddc,3,eval_results_pure_react_qwen25_reeval20260726_noaudit.json
A0016,SSG,llama3.1:8b,Q21,3-hop_vibe_setting_category,3,eval_results_agentic_llama_reeval20260726_noaudit.json
A0017,Act-only,llama3.1:8b,Q03,1-hop_setting,1,eval_results_act_only_llama31_reeval20260726_noaudit.json
A0018,Standard RAG,qwen2.5:7b,Q49,1-hop_ddc,1,eval_results_standard_qwen25_reeval20260726_noaudit.json
A0019,Pure ReAct,qwen2.5:7b,Q37,1-hop_vibe,1,eval_results_pure_react_qwen25_reeval20260726_noaudit.json
A0020,Standard RAG,qwen2.5:7b,Q58,1-hop_publisher_city,1,eval_results_standard_qwen25_reeval20260726_noaudit.json
A0021,Planned,llama3.1:8b,Q15,2-hop_author_setting,2,eval_results_planned_llama31_reeval20260726_noaudit.json
A0022,Standard RAG,llama3.1:8b,Q12,2-hop_vibe_category,2,eval_results_standard_llama31_reeval20260726_noaudit.json
A0023,Pure ReAct,qwen2.5:7b,Q40,1-hop_setting,1,eval_results_pure_react_qwen25_reeval20260726_noaudit.json
A0024,CoT-RAG,qwen2.5:7b,Q38,1-hop_vibe,1,eval_results_cot_rag_qwen25_reeval20260726_noaudit.json
A0025,CoT-RAG,qwen2.5:7b,Q86,3-hop_vibe_setting_category,3,eval_results_cot_rag_qwen25_reeval20260726_noaudit.json
A0026,Planned,qwen2.5:7b,Q87,3-hop_vibe_setting_category,3,eval_results_planned_qwen25_reeval20260726_noaudit.json
A0027,Pure ReAct,llama3.1:8b,Q71,2-hop_author_vibe,2,eval_results_pure_react_llama31_reeval20260726_noaudit.json
A0028,SSG,qwen2.5:7b,Q21,3-hop_vibe_setting_category,3,eval_results_agentic_qwen_reeval20260726_noaudit.json
A0029,Planned,llama3.1:8b,Q55,1-hop_character,1,eval_results_planned_llama31_reeval20260726_noaudit.json
