anon_id,arm,model,query_id,query_type,hop_count,source_file
A0001,Planned,qwen2.5:7b,Q43,1-hop_category,1,eval_results_planned_qwen25_20260719_ctxfix.json
A0002,Planned,qwen2.5:7b,Q42,1-hop_setting,1,eval_results_planned_qwen25_20260719_ctxfix.json
A0003,Planned,qwen2.5:7b,Q92,collaborative_shared_ddc,3,eval_results_planned_qwen25_20260719_ctxfix.json
A0004,Planned,qwen2.5:7b,Q10,2-hop_vibe_setting,2,eval_results_planned_qwen25_20260719_ctxfix.json
A0005,Planned,qwen2.5:7b,Q66,2-hop_vibe_category,2,eval_results_planned_qwen25_20260719_ctxfix.json
A0006,Planned,qwen2.5:7b,Q51,1-hop_language,1,eval_results_planned_qwen25_20260719_ctxfix.json
A0007,Planned,qwen2.5:7b,Q02,1-hop_vibe,1,eval_results_planned_qwen25_20260719_ctxfix.json
A0008,Planned,qwen2.5:7b,Q71,2-hop_author_vibe,2,eval_results_planned_qwen25_20260719_ctxfix.json
A0009,Planned,qwen2.5:7b,Q16,2-hop_author_category,2,eval_results_planned_qwen25_20260719_ctxfix.json
A0010,Planned,qwen2.5:7b,Q79,2-hop_ddc_branch,2,eval_results_planned_qwen25_20260719_ctxfix.json
A0011,Planned,qwen2.5:7b,Q74,2-hop_author_setting,2,eval_results_planned_qwen25_20260719_ctxfix.json
A0012,Planned,qwen2.5:7b,Q11,2-hop_vibe_category,2,eval_results_planned_qwen25_20260719_ctxfix.json
A0013,Planned,qwen2.5:7b,Q56,1-hop_publisher_city,1,eval_results_planned_qwen25_20260719_ctxfix.json
A0014,Planned,qwen2.5:7b,Q57,1-hop_publisher_city,1,eval_results_planned_qwen25_20260719_ctxfix.json
A0015,Planned,qwen2.5:7b,Q73,2-hop_author_setting,2,eval_results_planned_qwen25_20260719_ctxfix.json
A0016,Planned,qwen2.5:7b,Q46,1-hop_category,1,eval_results_planned_qwen25_20260719_ctxfix.json
A0017,Planned,qwen2.5:7b,Q49,1-hop_ddc,1,eval_results_planned_qwen25_20260719_ctxfix.json
A0018,Planned,qwen2.5:7b,Q93,collaborative_shared_ddc,3,eval_results_planned_qwen25_20260719_ctxfix.json
A0019,Planned,qwen2.5:7b,Q77,2-hop_author_category,2,eval_results_planned_qwen25_20260719_ctxfix.json
A0020,Planned,qwen2.5:7b,Q38,1-hop_vibe,1,eval_results_planned_qwen25_20260719_ctxfix.json
A0021,Planned,qwen2.5:7b,Q31,1-hop_author,1,eval_results_planned_qwen25_20260719_ctxfix.json
A0022,Planned,qwen2.5:7b,Q22,collaborative_shared_vibe,3,eval_results_planned_qwen25_20260719_ctxfix.json
A0023,Planned,qwen2.5:7b,Q33,1-hop_author,1,eval_results_planned_qwen25_20260719_ctxfix.json
A0024,Planned,qwen2.5:7b,Q97,runtime_similarity,1,eval_results_planned_qwen25_20260719_ctxfix.json
A0025,Planned,qwen2.5:7b,Q81,2-hop_ddc_branch,2,eval_results_planned_qwen25_20260719_ctxfix.json
A0026,Planned,qwen2.5:7b,Q50,1-hop_ddc,1,eval_results_planned_qwen25_20260719_ctxfix.json
A0027,Planned,qwen2.5:7b,Q84,2-hop_collectiontype_category,2,eval_results_planned_qwen25_20260719_ctxfix.json
A0028,Planned,qwen2.5:7b,Q27,runtime_similarity,1,eval_results_planned_qwen25_20260719_ctxfix.json
A0029,Planned,qwen2.5:7b,Q88,3-hop_vibe_setting_category,3,eval_results_planned_qwen25_20260719_ctxfix.json
A0030,Planned,qwen2.5:7b,Q34,1-hop_author,1,eval_results_planned_qwen25_20260719_ctxfix.json
A0031,Planned,qwen2.5:7b,Q09,2-hop_vibe_setting,2,eval_results_planned_qwen25_20260719_ctxfix.json
A0032,Planned,qwen2.5:7b,Q48,1-hop_ddc,1,eval_results_planned_qwen25_20260719_ctxfix.json
A0033,Planned,qwen2.5:7b,Q60,2-hop_vibe_setting,2,eval_results_planned_qwen25_20260719_ctxfix.json
A0034,Planned,qwen2.5:7b,Q64,2-hop_vibe_category,2,eval_results_planned_qwen25_20260719_ctxfix.json
A0035,Planned,qwen2.5:7b,Q75,2-hop_author_setting,2,eval_results_planned_qwen25_20260719_ctxfix.json
A0036,Planned,qwen2.5:7b,Q45,1-hop_category,1,eval_results_planned_qwen25_20260719_ctxfix.json
A0037,Planned,qwen2.5:7b,Q99,branch_filter_vibe,2,eval_results_planned_qwen25_20260719_ctxfix.json
A0038,Planned,qwen2.5:7b,Q53,1-hop_character,1,eval_results_planned_qwen25_20260719_ctxfix.json
A0039,Planned,qwen2.5:7b,Q86,3-hop_vibe_setting_category,3,eval_results_planned_qwen25_20260719_ctxfix.json
A0040,Planned,qwen2.5:7b,Q13,2-hop_setting_category,2,eval_results_planned_qwen25_20260719_ctxfix.json
A0041,Planned,qwen2.5:7b,Q37,1-hop_vibe,1,eval_results_planned_qwen25_20260719_ctxfix.json
A0042,Planned,qwen2.5:7b,Q24,collaborative_shared_ddc,3,eval_results_planned_qwen25_20260719_ctxfix.json
A0043,Planned,qwen2.5:7b,Q40,1-hop_setting,1,eval_results_planned_qwen25_20260719_ctxfix.json
A0044,Planned,qwen2.5:7b,Q41,1-hop_setting,1,eval_results_planned_qwen25_20260719_ctxfix.json
A0045,Planned,qwen2.5:7b,Q19,3-hop_vibe_setting_category,3,eval_results_planned_qwen25_20260719_ctxfix.json
A0046,Planned,qwen2.5:7b,Q67,2-hop_setting_category,2,eval_results_planned_qwen25_20260719_ctxfix.json
A0047,Planned,qwen2.5:7b,Q62,2-hop_vibe_setting,2,eval_results_planned_qwen25_20260719_ctxfix.json
A0048,Planned,qwen2.5:7b,Q61,2-hop_vibe_setting,2,eval_results_planned_qwen25_20260719_ctxfix.json
A0049,Planned,qwen2.5:7b,Q08,1-hop_publisher_city,1,eval_results_planned_qwen25_20260719_ctxfix.json
A0050,Planned,qwen2.5:7b,Q35,1-hop_vibe,1,eval_results_planned_qwen25_20260719_ctxfix.json
A0051,Planned,qwen2.5:7b,Q100,branch_filter_author,2,eval_results_planned_qwen25_20260719_ctxfix.json
A0052,Planned,qwen2.5:7b,Q47,1-hop_ddc,1,eval_results_planned_qwen25_20260719_ctxfix.json
A0053,Planned,qwen2.5:7b,Q03,1-hop_setting,1,eval_results_planned_qwen25_20260719_ctxfix.json
A0054,Planned,qwen2.5:7b,Q52,1-hop_language,1,eval_results_planned_qwen25_20260719_ctxfix.json
A0055,Planned,qwen2.5:7b,Q17,2-hop_ddc_branch,2,eval_results_planned_qwen25_20260719_ctxfix.json
A0056,Planned,qwen2.5:7b,Q39,1-hop_setting,1,eval_results_planned_qwen25_20260719_ctxfix.json
A0057,Planned,qwen2.5:7b,Q59,2-hop_vibe_setting,2,eval_results_planned_qwen25_20260719_ctxfix.json
A0058,Planned,qwen2.5:7b,Q69,2-hop_setting_category,2,eval_results_planned_qwen25_20260719_ctxfix.json
A0059,Planned,qwen2.5:7b,Q23,collaborative_shared_vibe,3,eval_results_planned_qwen25_20260719_ctxfix.json
A0060,Planned,qwen2.5:7b,Q63,2-hop_vibe_category,2,eval_results_planned_qwen25_20260719_ctxfix.json
